% Pose logfile
% 1 	Time (sec)
% 2,3 	X, Y position (m)
% 4 	Heading in radians (m)
% 5 	Tilt angle, if calculated (rad)
1770391807.9187 0.002 0.000 0.0012 -3.1123
1770391807.9231 0.003 0.000 0.0000 -3.1101
1770391807.9285 0.003 0.000 -0.0000 -3.1085
1770391807.9330 0.003 0.000 0.0012 -3.1062
1770391807.9385 0.004 0.000 0.0023 -3.1051
1770391807.9429 0.004 0.000 0.0023 -3.1045
1770391807.9484 0.005 0.000 0.0012 -3.1040
1770391807.9538 0.005 0.000 0.0023 -3.1022
1770391807.9583 0.006 0.000 0.0035 -3.1010
1770391807.9637 0.007 0.000 0.0035 -3.0994
1770391807.9682 0.007 0.000 0.0046 -3.0983
1770391807.9735 0.008 0.000 0.0046 -3.0966
1770391807.9779 0.009 0.000 0.0058 -3.0956
1770391807.9834 0.009 0.000 0.0058 -3.0941
1770391807.9879 0.010 0.000 0.0069 -3.0928
1770391807.9935 0.011 0.000 0.0069 -3.0914
1770391807.9978 0.012 0.000 0.0081 -3.0905
1770391808.0032 0.013 0.000 0.0093 -3.0895
1770391808.0087 0.014 0.000 0.0093 -3.0888
1770391808.0130 0.015 0.000 0.0093 -3.0877
1770391808.0186 0.016 0.000 0.0093 -3.0865
1770391808.0229 0.017 0.000 0.0104 -3.0852
1770391808.0283 0.018 0.000 0.0104 -3.0845
1770391808.0337 0.019 0.000 0.0116 -3.0837
1770391808.0380 0.020 0.000 0.0116 -3.0832
1770391808.0436 0.021 0.000 0.0116 -3.0822
1770391808.0481 0.022 0.000 0.0127 -3.0817
1770391808.0535 0.023 0.000 0.0127 -3.0815
1770391808.0579 0.024 0.000 0.0127 -3.0812
1770391808.0634 0.025 0.000 0.0127 -3.0807
1770391808.0679 0.026 0.000 0.0127 -3.0805
1770391808.0733 0.028 0.000 0.0116 -3.0800
1770391808.0787 0.028 0.000 0.0116 -3.0798
1770391808.0831 0.030 0.000 0.0116 -3.0794
1770391808.0886 0.031 0.000 0.0116 -3.0792
1770391808.0929 0.032 0.000 0.0127 -3.0788
1770391808.0984 0.033 0.000 0.0116 -3.0786
1770391808.1038 0.034 0.000 0.0116 -3.0784
1770391808.1083 0.035 0.000 0.0104 -3.0785
1770391808.1138 0.037 0.000 0.0104 -3.0789
1770391808.1182 0.038 0.000 0.0093 -3.0792
1770391808.1236 0.039 0.000 0.0093 -3.0793
1770391808.1280 0.040 0.000 0.0093 -3.0795
1770391808.1334 0.041 0.000 0.0081 -3.0798
1770391808.1379 0.042 0.000 0.0081 -3.0801
1770391808.1433 0.043 0.000 0.0081 -3.0803
1770391808.1488 0.044 0.000 0.0069 -3.0804
1770391808.1531 0.045 0.000 0.0058 -3.0802
1770391808.1585 0.046 0.000 0.0046 -3.0803
1770391808.1630 0.048 0.000 0.0046 -3.0808
1770391808.1685 0.049 0.000 0.0035 -3.0813
1770391808.1730 0.050 0.000 0.0023 -3.0817
1770391808.1785 0.051 0.000 0.0035 -3.0818
1770391808.1839 0.052 0.000 0.0023 -3.0815
1770391808.1884 0.053 0.000 0.0012 -3.0813
1770391808.1939 0.054 0.000 -0.0000 -3.0810
1770391808.1984 0.055 0.000 -0.0000 -3.0810
1770391808.2037 0.056 0.000 -0.0012 -3.0815
1770391808.2082 0.057 0.000 -0.0023 -3.0818
1770391808.2135 0.058 0.000 -0.0023 -3.0819
1770391808.2190 0.059 0.000 -0.0035 -3.0816
1770391808.2234 0.060 0.000 -0.0046 -3.0813
1770391808.2289 0.061 0.000 -0.0046 -3.0811
1770391808.2333 0.062 0.000 -0.0046 -3.0811
1770391808.2387 0.063 0.000 -0.0058 -3.0821
1770391808.2432 0.064 0.000 -0.0058 -3.0829
1770391808.2486 0.066 0.000 -0.0058 -3.0837
1770391808.2540 0.066 0.000 -0.0058 -3.0836
1770391808.2595 0.068 0.000 -0.0069 -3.0828
1770391808.2639 0.068 0.000 -0.0069 -3.0821
1770391808.2694 0.070 0.000 -0.0081 -3.0822
1770391808.2738 0.070 0.000 -0.0093 -3.0832
1770391808.2791 0.072 0.000 -0.0093 -3.0842
1770391808.2847 0.073 0.000 -0.0093 -3.0847
1770391808.2890 0.074 0.000 -0.0093 -3.0848
1770391808.2946 0.075 0.000 -0.0104 -3.0845
1770391808.2989 0.076 0.000 -0.0127 -3.0841
1770391808.3044 0.077 0.000 -0.0127 -3.0843
1770391808.3088 0.078 0.000 -0.0127 -3.0850
1770391808.3144 0.079 0.000 -0.0127 -3.0856
1770391808.3188 0.080 0.000 -0.0127 -3.0866
1770391808.3242 0.081 0.000 -0.0139 -3.0869
1770391808.3288 0.082 0.000 -0.0139 -3.0870
1770391808.3342 0.083 0.000 -0.0150 -3.0869
1770391808.3397 0.084 0.000 -0.0150 -3.0869
1770391808.3445 0.085 0.000 -0.0150 -3.0873
1770391808.3487 0.087 0.000 -0.0173 -3.0883
1770391808.3543 0.087 0.000 -0.0173 -3.0890
1770391808.3596 0.089 0.000 -0.0173 -3.0895
1770391808.3644 0.090 0.000 -0.0173 -3.0894
1770391808.3687 0.091 0.000 -0.0185 -3.0893
1770391808.3741 0.091 0.000 -0.0185 -3.0895
1770391808.3796 0.093 0.000 -0.0185 -3.0906
1770391808.3841 0.093 0.000 -0.0185 -3.0912
1770391808.3895 0.095 -0.000 -0.0185 -3.0916
1770391808.3940 0.095 -0.000 -0.0185 -3.0918
1770391808.3993 0.097 -0.000 -0.0185 -3.0912
1770391808.4038 0.097 -0.000 -0.0197 -3.0910
1770391808.4092 0.099 -0.000 -0.0197 -3.0907
1770391808.4146 0.099 -0.000 -0.0197 -3.0909
1770391808.4189 0.101 -0.000 -0.0197 -3.0918
1770391808.4244 0.101 -0.000 -0.0197 -3.0924
1770391808.4288 0.103 -0.000 -0.0197 -3.0935
1770391808.4342 0.104 -0.000 -0.0197 -3.0937
1770391808.4396 0.105 -0.000 -0.0197 -3.0939
1770391808.4441 0.105 -0.000 -0.0197 -3.0936
1770391808.4496 0.107 -0.000 -0.0197 -3.0933
1770391808.4538 0.108 -0.000 -0.0197 -3.0932
1770391808.4593 0.109 -0.000 -0.0197 -3.0937
1770391808.4639 0.109 -0.000 -0.0197 -3.0943
1770391808.4693 0.111 -0.000 -0.0197 -3.0947
1770391808.4737 0.112 -0.000 -0.0197 -3.0948
1770391808.4791 0.113 -0.000 -0.0197 -3.0949
1770391808.4846 0.113 -0.000 -0.0197 -3.0950
1770391808.4890 0.115 -0.000 -0.0197 -3.0950
1770391808.4944 0.116 -0.000 -0.0197 -3.0952
1770391808.4988 0.117 -0.000 -0.0185 -3.0957
1770391808.5043 0.118 -0.000 -0.0197 -3.0964
1770391808.5098 0.119 -0.000 -0.0197 -3.0971
1770391808.5142 0.120 -0.000 -0.0197 -3.0974
1770391808.5195 0.121 -0.001 -0.0197 -3.0974
1770391808.5240 0.122 -0.001 -0.0208 -3.0972
1770391808.5294 0.123 -0.001 -0.0197 -3.0971
1770391808.5339 0.124 -0.001 -0.0197 -3.0974
1770391808.5393 0.125 -0.001 -0.0197 -3.0985
1770391808.5448 0.126 -0.001 -0.0185 -3.0995
1770391808.5491 0.127 -0.001 -0.0197 -3.1001
1770391808.5545 0.128 -0.001 -0.0197 -3.1003
1770391808.5589 0.129 -0.001 -0.0185 -3.1000
1770391808.5644 0.129 -0.001 -0.0197 -3.0998
1770391808.5689 0.131 -0.001 -0.0185 -3.0999
1770391808.5742 0.131 -0.001 -0.0173 -3.1004
1770391808.5796 0.133 -0.001 -0.0173 -3.1016
1770391808.5841 0.133 -0.001 -0.0173 -3.1025
1770391808.5895 0.135 -0.001 -0.0162 -3.1030
1770391808.5940 0.135 -0.001 -0.0162 -3.1028
1770391808.5993 0.137 -0.001 -0.0173 -3.1016
1770391808.6039 0.137 -0.001 -0.0173 -3.1006
1770391808.6093 0.138 -0.001 -0.0185 -3.0998
1770391808.6147 0.139 -0.001 -0.0173 -3.0996
1770391808.6191 0.140 -0.001 -0.0162 -3.1000
1770391808.6245 0.141 -0.001 -0.0162 -3.1004
1770391808.6289 0.142 -0.001 -0.0162 -3.1012
1770391808.6343 0.143 -0.001 -0.0162 -3.1012
1770391808.6397 0.144 -0.001 -0.0162 -3.1007
1770391808.6442 0.145 -0.001 -0.0162 -3.1004
1770391808.6496 0.146 -0.001 -0.0150 -3.1002
1770391808.6539 0.147 -0.001 -0.0150 -3.1005
1770391808.6593 0.148 -0.001 -0.0150 -3.1012
1770391808.6649 0.149 -0.001 -0.0139 -3.1013
1770391808.6692 0.150 -0.001 -0.0139 -3.1010
1770391808.6747 0.151 -0.001 -0.0139 -3.1006
1770391808.6791 0.152 -0.001 -0.0139 -3.0997
1770391808.6845 0.153 -0.001 -0.0139 -3.0995
1770391808.6890 0.154 -0.001 -0.0139 -3.0996
1770391808.6944 0.155 -0.001 -0.0139 -3.1000
1770391808.6997 0.156 -0.001 -0.0127 -3.1009
1770391808.7043 0.157 -0.001 -0.0127 -3.1015
1770391808.7096 0.158 -0.001 -0.0127 -3.1024
1770391808.7142 0.159 -0.001 -0.0127 -3.1029
1770391808.7195 0.160 -0.001 -0.0116 -3.1032
1770391808.7241 0.161 -0.001 -0.0116 -3.1028
1770391808.7295 0.162 -0.001 -0.0127 -3.1020
1770391808.7349 0.163 -0.001 -0.0127 -3.1017
1770391808.7394 0.164 -0.001 -0.0116 -3.1016
1770391808.7449 0.165 -0.001 -0.0116 -3.1018
1770391808.7492 0.166 -0.001 -0.0116 -3.1020
1770391808.7547 0.167 -0.001 -0.0104 -3.1019
1770391808.7590 0.168 -0.001 -0.0104 -3.1017
1770391808.7647 0.169 -0.001 -0.0104 -3.1015
1770391808.7690 0.170 -0.001 -0.0116 -3.1013
1770391808.7745 0.171 -0.001 -0.0116 -3.1014
1770391808.7789 0.172 -0.001 -0.0104 -3.1022
1770391808.7839 0.173 -0.001 -0.0104 -3.1028
1770391808.7894 0.174 -0.001 -0.0104 -3.1032
1770391808.7939 0.175 -0.001 -0.0104 -3.1029
1770391808.7994 0.176 -0.001 -0.0104 -3.1020
1770391808.8049 0.177 -0.001 -0.0104 -3.1014
1770391808.8093 0.178 -0.001 -0.0104 -3.1012
1770391808.8148 0.179 -0.001 -0.0104 -3.1015
1770391808.8191 0.180 -0.001 -0.0104 -3.1023
1770391808.8248 0.181 -0.001 -0.0104 -3.1027
1770391808.8290 0.182 -0.001 -0.0093 -3.1027
1770391808.8347 0.183 -0.001 -0.0093 -3.1023
1770391808.8391 0.184 -0.001 -0.0104 -3.1017
1770391808.8446 0.185 -0.001 -0.0104 -3.1016
1770391808.8489 0.186 -0.001 -0.0093 -3.1021
1770391808.8543 0.187 -0.001 -0.0093 -3.1028
1770391808.8600 0.188 -0.001 -0.0081 -3.1037
1770391808.8645 0.190 -0.001 -0.0081 -3.1041
1770391808.8700 0.190 -0.001 -0.0081 -3.1040
1770391808.8745 0.191 -0.001 -0.0093 -3.1040
1770391808.8799 0.192 -0.001 -0.0093 -3.1040
1770391808.8844 0.193 -0.001 -0.0081 -3.1041
1770391808.8899 0.194 -0.002 -0.0093 -3.1041
1770391808.8944 0.195 -0.002 -0.0081 -3.1042
1770391808.8998 0.196 -0.002 -0.0081 -3.1043
1770391808.9043 0.197 -0.002 -0.0081 -3.1048
1770391808.9096 0.198 -0.002 -0.0081 -3.1049
1770391808.9151 0.199 -0.002 -0.0081 -3.1049
1770391808.9195 0.200 -0.002 -0.0081 -3.1046
1770391808.9249 0.201 -0.002 -0.0081 -3.1047
1770391808.9294 0.202 -0.002 -0.0081 -3.1049
1770391808.9348 0.203 -0.002 -0.0081 -3.1056
1770391808.9392 0.204 -0.002 -0.0069 -3.1058
1770391808.9447 0.205 -0.002 -0.0081 -3.1057
1770391808.9501 0.206 -0.002 -0.0081 -3.1054
1770391808.9546 0.207 -0.002 -0.0081 -3.1049
1770391808.9599 0.208 -0.002 -0.0081 -3.1051
1770391808.9645 0.209 -0.002 -0.0069 -3.1056
1770391808.9699 0.210 -0.002 -0.0069 -3.1060
1770391808.9742 0.211 -0.002 -0.0069 -3.1060
1770391808.9797 0.212 -0.002 -0.0069 -3.1057
1770391808.9852 0.213 -0.002 -0.0069 -3.1050
1770391808.9900 0.214 -0.002 -0.0069 -3.1045
1770391808.9947 0.215 -0.002 -0.0058 -3.1039
1770391809.0001 0.216 -0.002 -0.0058 -3.1035
1770391809.0046 0.217 -0.002 -0.0058 -3.1024
1770391809.0102 0.218 -0.002 -0.0046 -3.1019
1770391809.0151 0.219 -0.002 -0.0058 -3.1014
1770391809.0206 0.220 -0.002 -0.0058 -3.1011
1770391809.0251 0.221 -0.002 -0.0046 -3.1005
1770391809.0305 0.222 -0.002 -0.0046 -3.1001
1770391809.0350 0.223 -0.002 -0.0058 -3.1000
1770391809.0406 0.224 -0.002 -0.0046 -3.1000
1770391809.0450 0.225 -0.002 -0.0058 -3.1004
1770391809.0505 0.226 -0.002 -0.0046 -3.1005
1770391809.0549 0.227 -0.002 -0.0046 -3.1005
1770391809.0605 0.228 -0.002 -0.0046 -3.1004
1770391809.0650 0.229 -0.002 -0.0046 -3.1006
1770391809.0703 0.230 -0.002 -0.0046 -3.1007
1770391809.0748 0.231 -0.002 -0.0046 -3.1012
1770391809.0802 0.232 -0.002 -0.0035 -3.1014
1770391809.0846 0.233 -0.002 -0.0046 -3.1019
1770391809.0901 0.234 -0.002 -0.0035 -3.1017
1770391809.0955 0.235 -0.002 -0.0046 -3.1010
1770391809.0999 0.236 -0.002 -0.0046 -3.1006
1770391809.1054 0.237 -0.002 -0.0035 -3.1003
1770391809.1098 0.238 -0.002 -0.0035 -3.1002
1770391809.1153 0.239 -0.002 -0.0035 -3.0996
1770391809.1198 0.240 -0.002 -0.0035 -3.0995
1770391809.1251 0.241 -0.002 -0.0035 -3.0997
1770391809.1305 0.242 -0.002 -0.0035 -3.1001
1770391809.1350 0.243 -0.002 -0.0035 -3.1009
1770391809.1405 0.244 -0.002 -0.0035 -3.1014
1770391809.1449 0.245 -0.002 -0.0046 -3.1016
1770391809.1503 0.246 -0.002 -0.0046 -3.1014
1770391809.1558 0.247 -0.002 -0.0035 -3.1010
1770391809.1602 0.248 -0.002 -0.0035 -3.1007
1770391809.1648 0.249 -0.002 -0.0035 -3.1008
1770391809.1704 0.250 -0.002 -0.0035 -3.1013
1770391809.1748 0.251 -0.002 -0.0035 -3.1024
1770391809.1809 0.252 -0.002 -0.0035 -3.1031
1770391809.1849 0.254 -0.002 -0.0035 -3.1034
1770391809.1904 0.254 -0.002 -0.0035 -3.1031
1770391809.1949 0.255 -0.002 -0.0035 -3.1022
1770391809.2004 0.256 -0.002 -0.0035 -3.1016
1770391809.2048 0.257 -0.002 -0.0023 -3.1017
1770391809.2102 0.258 -0.002 -0.0023 -3.1022
1770391809.2157 0.259 -0.002 -0.0035 -3.1032
1770391809.2202 0.260 -0.002 -0.0035 -3.1035
1770391809.2256 0.262 -0.002 -0.0035 -3.1031
1770391809.2301 0.262 -0.002 -0.0023 -3.1022
1770391809.2355 0.264 -0.002 -0.0023 -3.1012
1770391809.2400 0.264 -0.002 -0.0035 -3.1017
1770391809.2454 0.265 -0.002 -0.0023 -3.1026
1770391809.2508 0.266 -0.002 -0.0023 -3.1028
1770391809.2552 0.267 -0.002 -0.0023 -3.1020
1770391809.2606 0.268 -0.002 -0.0012 -3.1010
1770391809.2651 0.269 -0.002 -0.0023 -3.0996
1770391809.2705 0.270 -0.002 -0.0023 -3.0993
1770391809.2750 0.271 -0.002 -0.0012 -3.1001
1770391809.2805 0.272 -0.002 -0.0012 -3.1013
1770391809.2849 0.273 -0.002 -0.0023 -3.1021
1770391809.2905 0.274 -0.002 -0.0023 -3.1021
1770391809.2948 0.275 -0.002 -0.0012 -3.1018
1770391809.3003 0.276 -0.002 -0.0012 -3.1017
1770391809.3057 0.277 -0.002 -0.0012 -3.1014
1770391809.3100 0.278 -0.002 -0.0012 -3.1013
1770391809.3157 0.279 -0.002 -0.0000 -3.1012
1770391809.3201 0.280 -0.002 -0.0000 -3.1012
1770391809.3256 0.281 -0.002 -0.0012 -3.1015
1770391809.3301 0.282 -0.002 -0.0012 -3.1017
1770391809.3356 0.283 -0.002 -0.0000 -3.1017
1770391809.3401 0.284 -0.002 -0.0000 -3.1012
1770391809.3456 0.285 -0.002 -0.0012 -3.1008
1770391809.3501 0.286 -0.002 -0.0000 -3.1006
1770391809.3556 0.287 -0.002 -0.0000 -3.1011
1770391809.3601 0.288 -0.002 -0.0000 -3.1016
1770391809.3657 0.289 -0.002 -0.0000 -3.1021
1770391809.3701 0.290 -0.002 -0.0012 -3.1020
1770391809.3755 0.291 -0.002 -0.0000 -3.1017
1770391809.3805 0.292 -0.002 -0.0000 -3.1017
1770391809.3856 0.293 -0.002 -0.0000 -3.1015
1770391809.3900 0.294 -0.002 -0.0000 -3.1010
1770391809.3955 0.295 -0.002 0.0012 -3.1000
1770391809.4000 0.296 -0.002 -0.0000 -3.0998
1770391809.4054 0.297 -0.002 0.0012 -3.0998
1770391809.4098 0.298 -0.002 0.0012 -3.1002
1770391809.4153 0.299 -0.002 -0.0000 -3.1004
1770391809.4209 0.300 -0.002 -0.0000 -3.1007
1770391809.4253 0.301 -0.002 0.0012 -3.1007
1770391809.4306 0.302 -0.002 -0.0000 -3.1006
1770391809.4351 0.303 -0.002 0.0012 -3.1002
1770391809.4407 0.304 -0.002 0.0023 -3.0999
1770391809.4451 0.305 -0.002 0.0012 -3.0999
1770391809.4506 0.306 -0.002 0.0012 -3.1002
1770391809.4549 0.307 -0.002 0.0023 -3.1006
1770391809.4604 0.308 -0.002 0.0012 -3.1006
1770391809.4649 0.309 -0.002 0.0012 -3.1004
1770391809.4703 0.310 -0.002 0.0012 -3.1004
1770391809.4758 0.311 -0.002 0.0023 -3.1000
